0,ac-df,ba-df,ce-ba,df-ba,df-go,df-to,es-ba,go-df,go-to,ma-pa,mg-ba,ms-mt,mt-df,pa-to,pi-ce,pr-sp,sp-df
es-to,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
go-to,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ma-to,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
mg-ba,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ms-to,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
mt-ba,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
mt-to,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
pb-to,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pi-to,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
pr-to,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
sp-to,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
