0,am-ap,ap-pa,ce-sp,df-am,df-mg,ma-pi,pa-ma,pi-ce,pr-rs,rj-es,rr-ce,rs-pr,sp-mg,sp-pr,sp-rj,sp-sc
am-mg,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
am-rj,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0
ap-rj,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0
rr-es,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
rr-mg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
rr-pr,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
rr-rj,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
rr-rs,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
rr-sc,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
rr-sp,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
