0,ac-ro,am-ap,ba-df,ce-ba,ce-rr,df-ba,df-ma,df-mg,es-ba,ma-pi,mg-rj,mt-df,pa-to,pi-ce,pr-sp,rn-pb,ro-mt,rr-am,sp-ce,to-df
ac-ba,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
es-ba,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mt-ba,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
pr-ba,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
rn-ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rr-ba,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1
sp-rj,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
sp-rr,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
to-ba,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
