0,am-ap,am-rr,ap-pa,ce-sp,df-am,df-sp,ma-pi,pa-ma,pi-ce,pr-rs,rj-es,rr-ce,rs-pr,sp-pr,sp-rj
am-pr,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
am-rj,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1
am-rs,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0
am-sp,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
rr-es,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
rr-mg,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
rr-pr,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
rr-rj,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
rr-rs,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
rr-sp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
