0,ce-rr,ce-sp,df-am,df-ba,df-mg,mg-rj,mt-df,pr-sp,ro-mt,rr-am,rr-ce,rs-pr,sc-pr,sp-ce,sp-pr
pr-rr,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ro-rj,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
rr-ba,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
rr-rj,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
rr-rj,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
rr-rs,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
rs-rr,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
sc-rr,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
