0,ac-df,ap-pa,ce-ba,df-am,df-ba,es-ba,go-df,ma-pi,ms-mt,mt-df,pa-to,pi-ce,pr-sp,rj-es,ro-mt,sc-pr,se-ba,sp-rj,to-df
ac-ba,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
am-ba,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ap-ba,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ce-ba,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df-ba,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go-ba,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ma-ba,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ms-ba,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
mt-ba,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pa-ba,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
pb-ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi-ba,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ro-ba,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
sc-ba,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
se-ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
