0,ac-ro,ce-ba,df-am,df-ba,es-ba,mg-ba,mt-df,pa-to,pr-sp,rj-es,ro-mt,sp-mg,to-df
ac-ba,1,0,0,1,0,0,1,0,0,0,1,0,0
am-ba,0,0,1,1,0,0,0,0,0,0,0,0,0
pa-ba,0,0,0,1,0,0,0,1,0,0,0,0,1
pr-ba,0,0,0,0,0,1,0,0,1,0,0,1,0
rj-ba,0,1,0,0,1,0,0,0,0,1,0,0,0
