0,ac-df,am-df,am-rr,df-ac,df-am,df-ba,mt-df,pr-rs,rj-sp,ro-mt,rr-am,rs-pr,sp-pr
ac-am,1,1,0,0,0,0,0,0,0,0,0,0,0
ac-rr,1,1,1,0,0,0,0,0,0,0,0,0,0
ac-rs,1,0,0,0,0,0,0,1,1,0,0,1,1
ro-ba,0,0,0,0,0,1,1,0,0,1,0,0,0
rr-ac,0,0,0,1,1,0,0,0,0,0,1,0,0
