0,ap-pa,ba-ce,ba-es,df-am,df-to,es-rj,mg-df,mg-rj,ms-mt,mt-df,pa-to,pr-sp,rn-pb,ro-mt,rs-pr,sc-pr,sp-rj,to-df
am-rj,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ap-rj,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
es-rj,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mg-rj,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mg-to,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ms-rj,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
pa-rj,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
rn-rj,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ro-rj,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
rs-rj,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
sc-rj,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
