0,ce-ba,df-ba,go-df,mg-ba,mt-df,pi-ce,sp-ce
go-ba,0,1,1,0,0,0,0
mg-ba,0,0,0,1,0,0,0
mt-ba,0,1,0,0,1,0,0
pi-ba,1,0,0,0,0,1,0
sp-ba,1,0,0,0,0,0,1
