0,ac-df,ac-ro,am-df,ap-pa,ce-sp,df-ac,df-am,df-go,df-mg,go-df,mg-df,pa-to,pr-rs,rj-sp,rn-ce,ro-mt,rr-am,rs-pr,sp-pr,to-df
ac-am,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ac-mg,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
ap-rs,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
mg-ac,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pa-rs,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
rn-rs,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
rr-ac,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
rr-rs,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0
