0,ac-ro,ce-ba,df-ba,es-ba,ma-pi,ms-mt,mt-df,pi-ce,pr-sp,rj-es,ro-mt,rs-pr,sc-pr,sp-rj
ac-ba,1,0,1,0,0,0,1,0,0,0,1,0,0,0
am-ba,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ce-ba,0,1,0,0,0,0,0,0,0,0,0,0,0,0
df-ba,0,0,1,0,0,0,0,0,0,0,0,0,0,0
es-ba,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ma-ba,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ms-ba,0,0,1,0,0,1,1,0,0,0,0,0,0,0
rs-ba,0,1,0,1,0,0,0,0,1,1,0,1,0,1
sc-ba,0,1,0,1,0,0,0,0,1,1,0,0,1,1
