0,ac-df,am-df,am-rr,df-ac,df-am,df-ba,df-to,ma-df,pa-to,pr-rs,pr-sp,rj-df,rj-sp,rr-am,rs-pr,sc-sp,sp-pr,sp-rj
ac-am,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ac-ba,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ac-rr,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ac-rs,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
ac-to,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
am-ba,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ma-to,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
pa-to,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pr-to,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
rj-to,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
rr-ac,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
rr-ba,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
sc-to,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
