0,ac-ro,ba-mg,ce-sp,df-am,df-mg,es-rj,ma-pi,mg-es,mg-rj,ms-mt,mt-df,pa-to,pi-ce,rn-ce,ro-mt,rr-am,rs-pr,se-ba,sp-rj,to-df
ac-rj,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
am-rj,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ba-rj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ce-rj,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
go-rj,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ma-rj,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
ms-rj,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
ms-rj,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
pa-rj,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
pb-rj,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pi-rj,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
pr-rj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rn-rj,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
rr-rj,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
rs-rj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
se-rj,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
to-rj,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
