0,ba-ce,ba-mg,ce-sp,df-am,df-mg,ma-pi,mg-rj,ms-mt,mt-df,pb-rn,pe-pb,pi-ce,rn-ce,ro-mt,sp-rj
am-rj,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ba-rj,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
df-rj,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ma-rj,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
ms-rj,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
pb-rj,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
pe-rj,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
pi-rj,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
rn-rj,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
ro-rj,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
