0,am-ap,ap-pa,ce-ba,ce-rr,df-ma,df-mg,ma-pi,mg-rj,pa-to,pi-ce,pr-sp,rr-am,sp-ce,to-df
am-ba,1,1,1,0,1,0,1,0,1,1,0,0,0,1
am-ba,1,1,1,0,1,0,1,0,1,1,0,0,0,1
am-rj,1,1,0,0,0,1,0,1,1,0,0,0,0,1
pb-ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pr-ba,0,0,1,0,0,0,0,0,0,0,1,0,1,0
rr-ba,1,0,1,0,1,0,0,0,1,1,0,1,0,1
sp-rr,0,0,0,1,0,0,0,0,0,0,0,0,1,0
to-ba,0,0,1,0,1,0,1,0,0,1,0,0,0,1
