0,ba-ce,ba-df,ba-es,ce-ba,df-ba,df-mt,es-ba,mt-df,mt-ro,pa-to,pr-sp,rj-es,ro-ac,rs-pr,sp-rj,to-df
ba-es,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
df-ba,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mt-ba,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
pa-ba,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
rj-ac,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0
rs-ba,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0
