0,df-am,df-ba,pa-to,pr-rs,rj-sp,rr-am,rs-pr,sp-pr,to-df
am-rs,1,0,0,1,1,0,1,1,0
pa-ba,0,1,1,0,0,0,0,0,1
rr-rj,1,0,0,0,0,1,0,0,0
rr-rs,1,0,0,1,1,1,1,1,0
to-rj,0,0,0,0,0,0,0,0,1
