0,ac-ro,ce-ba,df-am,df-ba,es-ba,go-df,mg-ba,ms-mt,mt-df,pr-sp,rj-es,ro-mt,rr-am,rs-pr,sc-pr,sp-mg,sp-rj
ac-ba,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
am-ba,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ce-ba,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df-ba,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
es-ba,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
go-ba,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
mg-ba,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ms-ba,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
rj-ba,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ro-ba,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
rr-ba,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
rs-ba,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
sc-ba,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
sp-ba,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
