0,ap-pa,ce-ba,ce-sp,df-am,df-ba,df-sp,mt-df,pa-to,pi-ce,pr-rs,rs-pr,sp-ce,sp-pr,to-df
am-rs,0,0,0,1,0,1,0,0,0,1,1,0,1,0
ap-ba,1,0,0,0,1,0,0,1,0,0,0,0,0,1
df-rs,0,0,0,0,0,1,0,0,0,1,1,0,1,0
mt-ba,0,0,0,0,1,0,1,0,0,0,0,0,0,0
pa-rs,0,0,0,0,0,1,0,1,0,1,1,0,1,1
pi-ba,0,1,0,0,0,0,0,0,1,0,0,0,0,0
pi-rs,0,0,1,0,0,0,0,0,1,1,1,0,1,0
sp-ba,0,1,0,0,0,0,0,0,0,0,0,1,0,0
