0,ce-rr,df-am,df-mg,ma-pa,mg-rj,pa-to,pr-sp,rr-am,rr-ce,rs-pr,sc-pr,sp-ce,to-df
ma-rj,0,0,1,1,1,1,0,0,0,0,0,0,1
pr-rr,1,0,0,0,0,0,1,0,0,0,0,1,0
rr-rj,0,1,0,0,0,0,0,1,0,0,0,0,0
rr-rs,0,0,0,0,0,0,0,0,1,0,0,0,0
rs-rr,1,0,0,0,0,0,1,0,0,1,0,1,0
sc-rr,1,0,0,0,0,0,1,0,0,0,1,1,0
sp-rr,1,0,0,0,0,0,0,0,0,0,0,1,0
to-rj,0,0,1,0,1,0,0,0,0,0,0,0,1
