0,df-am,ms-mt,mt-df,pr-sp,ro-mt,rr-am,sc-pr,sp-rj
df-rj,0,0,0,0,0,0,0,0
ms-rj,0,1,1,0,0,0,0,0
ro-rj,0,0,1,0,1,0,0,0
rr-rj,1,0,0,0,0,1,0,0
sc-rj,0,0,0,1,0,0,1,1
