0,ac-df,ac-ro,am-df,am-rr,df-ac,df-am,df-go,df-mg,go-df,mg-rj,mt-ro,rj-df,ro-ac,ro-mt,rr-am
ac-am,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
ac-mg,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0
ac-rr,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
mg-ac,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
rr-ac,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
