0,am-df,am-rr,ba-mg,ce-rn,df-am,df-to,mg-sp,pr-sc,pr-sp,rj-df,rj-sp,rn-pb,rs-pr,rs-sp,sc-rs,sp-ce,sp-pr,sp-rj,sp-rs
am-rs,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
pb-rs,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
pb-sc,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
rs-pb,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
rs-rr,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
rs-to,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
sc-am,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
sc-pb,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
