0,ce-ba,df-am,df-ba,es-ba,mg-ba,mt-df,pe-pb,pr-sp,rj-es,rn-pb,rr-am,rs-pr,sp-mg,sp-rj,to-df
am-ba,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ce-ba,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es-ba,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mg-ba,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mt-ba,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
pe-ba,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pr-ba,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
rj-ba,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
rn-ba,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rr-ba,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
rs-ba,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0
sp-ba,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
to-ba,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
