0,ac-df,ap-pa,ce-ba,df-ba,es-ba,go-df,mg-ba,ms-mt,mt-df,pa-to,pi-ce,pr-sp,rj-es,rn-pb,ro-mt,rs-pr,sc-pr,se-ba,sp-mg,to-df
ac-ba,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ap-ba,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
df-ba,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go-ba,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ms-ba,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
mt-ba,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pb-ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi-ba,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pr-ba,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
rj-ba,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rn-ba,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ro-ba,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
rs-ba,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
sc-ba,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
se-ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
to-ba,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
