0,ap-pa,ba-ce,ba-df,ce-ba,ce-sp,df-ba,df-mg,mg-rj,ms-mt,ms-pr,mt-ms,mt-ro,pa-to,pe-pb,pr-sp,ro-ac,ro-mt,sp-ce,sp-pr,to-df
ap-ba,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ba-ac,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
df-ba,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pb-ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe-rj,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
ro-ba,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0
to-ba,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
