0,ac-ro,ba-ce,ba-es,ce-ba,ce-sp,df-ba,es-ba,es-rj,ma-pa,ms-pr,mt-df,pa-to,pr-rs,pr-sp,rn-ce,ro-mt,se-ba,sp-pr,sp-rj,to-df
ac-rj,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
df-rj,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
es-ba,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ma-rj,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
ms-rj,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
rn-rj,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ro-rj,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
rr-rj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rr-rs,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
se-ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
to-ba,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
