0,ce-sp,df-am,df-sp,es-rj,pr-rs,rj-sp,rn-ce,rs-pr,sc-rs,sp-pr
am-rs,0,1,1,0,1,0,0,1,0,1
es-rs,0,0,0,1,1,1,0,1,0,1
rn-rs,1,0,0,0,1,0,1,1,0,1
sc-rs,0,0,0,0,0,0,0,0,1,0
sp-rs,0,0,0,0,1,0,0,1,0,1
