0,ac-df,am-df,am-rr,ce-sp,df-ac,df-am,df-ba,df-mg,mg-df,pr-rs,rj-sp,rr-am,rs-pr,sp-pr
ac-am,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ac-ba,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ac-mg,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ac-rr,1,1,1,0,0,0,0,0,0,0,0,0,0,0
am-rs,0,0,0,0,0,1,0,0,0,1,1,0,1,1
ce-rs,0,0,0,1,0,0,0,0,0,1,0,0,1,1
mg-ac,0,0,0,0,1,0,0,0,1,0,0,0,0,0
rr-ac,0,0,0,0,1,0,0,0,0,0,0,1,0,0
rr-rs,0,0,0,0,0,1,0,0,0,1,1,1,1,1
