0,ba-df,ce-df,df-to,es-rj,mg-rj,mt-df,pr-sp,rj-df,ro-mt,rs-pr,sp-rj
ce-to,0,1,1,0,0,0,0,0,0,0,0
es-to,0,0,1,1,0,0,0,1,0,0,0
mg-to,0,0,1,0,1,0,0,1,0,0,0
pb-to,1,0,1,0,0,0,0,0,0,0,0
ro-to,0,0,1,0,0,1,0,0,1,0,0
rs-to,0,0,1,0,0,0,1,1,0,1,1
