0,ac-df,ap-pa,ce-ba,df-am,df-ba,mg-ba,mt-df,pa-to,pe-pb,pi-ce,pr-sp,rj-sp,rr-am,rs-pr,sc-sp,sp-mg,sp-sc,to-df
ac-ba,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
am-ba,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ap-ba,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
ce-ba,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mg-ba,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mt-ba,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
pe-ba,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pi-ba,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pr-ba,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
rr-ba,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
rr-sc,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
rs-ba,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
sc-ba,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
sp-ba,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
to-ba,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
