0,ac-ro,ap-pa,ba-ce,ba-es,df-am,es-rj,ma-df,ms-mt,mt-df,pa-to,pi-ma,ro-mt,rr-am,se-ba,to-df
ac-rj,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ap-rj,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
ba-rj,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
ms-rj,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
pa-rj,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
pi-rj,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
rr-rj,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
se-rj,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
to-rj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
