0,am-ap,ap-pa,ce-sp,df-mg,pa-to,pr-rs,rj-es,rr-am,rr-ce,sp-mg,sp-pr,sp-rj,to-df
am-mg,1,1,0,1,1,0,0,0,0,0,0,0,1
pa-to,0,0,0,0,1,0,0,0,0,0,0,0,0
rr-es,0,0,1,0,0,0,1,0,1,0,0,0,0
rr-mg,0,0,1,0,0,0,0,0,0,1,0,0,0
rr-pr,0,0,0,0,0,0,0,0,1,0,1,0,0
rr-rj,0,0,1,0,0,0,0,0,1,0,0,1,0
rr-rs,0,0,1,0,0,1,0,0,1,0,1,0,0
rr-sc,0,0,1,0,0,0,0,0,1,0,1,0,0
rr-sp,0,0,1,0,0,0,0,0,1,0,0,0,0
rr-to,1,0,0,0,1,0,0,1,0,0,0,0,0
