0,ac-df,ac-ro,am-df,ba-ce,ba-mg,ce-ba,ce-rr,df-ba,df-go,es-ba,go-df,mg-es,ms-mt,pr-sp,ro-mt,rr-am,rs-pr,sc-pr,sp-ce
ac-ba,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
mg-rr,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
pr-am,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
rs-am,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
sc-am,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
sp-mg,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
